# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 5276 3 57 43 868694 5 /openedx/staticfiles/paragon/src/Icon/Icon.699670200795.scss
DUPTYPE_WITHIN_SAME_TREE -5276 6 57 43 838166 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Icon/Icon.scss
DUPTYPE_WITHIN_SAME_TREE -5276 6 57 43 858757 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/Icon/Icon.699670200795.scss
DUPTYPE_WITHIN_SAME_TREE -5276 6 57 43 858628 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Icon/Icon.699670200795.scss
DUPTYPE_WITHIN_SAME_TREE -5276 6 57 43 838646 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/Icon/Icon.scss
DUPTYPE_WITHIN_SAME_TREE -5276 3 57 43 838909 5 /openedx/staticfiles/paragon/src/Icon/Icon.scss
DUPTYPE_FIRST_OCCURRENCE 12389 6 57 43 858579 5 /openedx/staticfiles/edx-bootstrap/node_modules/jquery/src/css/var/rcustomProp.c3d91fa7f662.js
DUPTYPE_WITHIN_SAME_TREE -12389 6 57 43 838012 5 /openedx/staticfiles/edx-bootstrap/node_modules/jquery/src/css/var/rcustomProp.js
DUPTYPE_FIRST_OCCURRENCE 11571 5 57 43 859046 5 /openedx/staticfiles/templates/instructor/edx_ace/accountcreationandenrollment/email/head.9908db1e6349.html
DUPTYPE_WITHIN_SAME_TREE -11571 5 57 43 836637 5 /openedx/staticfiles/templates/instructor/edx_ace/allowedunenroll/email/head.html
